Rank,Title,Type,Episodes,Start_Year,Score,Members
255,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1.0,2012,8.38,223648
256,Medalist,TV,13.0,2025,8.38,98227
257,Ramayana: The Legend of Prince Rama,Movie,1.0,1993,8.38,16016
258,3-gatsu no Lion,TV,22.0,2016,8.37,745118
259,Chihayafuru 2,TV,25.0,2013,8.37,254988
260,Cross Game,TV,50.0,2009,8.37,133766
261,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie,1.0,2011,8.37,23332
262,Gintama°: Aizome Kaori-hen,OVA,2.0,2016,8.37,93947
263,Haikyuu!! To the Top,TV,13.0,2020,8.37,1067392
264,Initial D First Stage,TV,26.0,1998,8.37,448375
265,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV,12.0,2024,8.37,611101
266,Shinseiki Evangelion,TV,26.0,1995,8.37,2063194
267,Vivy: Fluorite Eye's Song,TV,13.0,2021,8.37,619392
268,Yuru Camp△ Movie,Movie,1.0,2022,8.37,96427
269,Barakamon,TV,12.0,2014,8.36,721490
270,Douluo Dalu 2nd Season,ONA,237.0,2018,8.36,24466
271,Gintama: Shiroyasha Koutan,Special,1.0,2008,8.36,76256
272,K-On! Movie,Movie,1.0,2011,8.36,359865
273,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie,1.0,2009,8.36,221187
274,Karakai Jouzu no Takagi-san 3,TV,12.0,2022,8.36,215618
275,Kaze no Tani no Nausicaä,Movie,1.0,1984,8.36,419665
276,Kizumonogatari I: Tekketsu-hen,Movie,1.0,2016,8.36,588999
277,Versailles no Bara,TV,40.0,1979,8.36,117305
278,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1.0,2018,8.36,377503
279,86,TV,11.0,2021,8.35,1004026
280,Fanren Xiu Xian Zhuan: Xinghai Feichi,ONA,48.0,2023,8.35,4423
281,Fruits Basket: Prelude,Movie,1.0,2022,8.35,134172
282,Fumetsu no Anata e,TV,20.0,2021,8.35,1015382
283,Girls Band Cry,TV,13.0,2024,8.35,143296
284,Hibike! Euphonium 2,TV,13.0,2016,8.35,260304
285,Jujutsu Kaisen 0 Movie,Movie,1.0,2021,8.35,1309677
286,Meitantei Conan Movie 26: Kurogane no Submarine,Movie,1.0,2023,8.35,19960
287,Non Non Biyori Nonstop,TV,12.0,2021,8.35,140893
288,Tunshi Xingkong 3rd Season,ONA,33.0,2022,8.35,5605
289,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12.0,2020,8.35,835564
290,Baccano!,TV,13.0,2007,8.34,966500
291,Hellsing Ultimate,OVA,10.0,2006,8.34,1033170
292,IDOLiSH7 Third Beat! Part 2,TV,17.0,2022,8.34,18287
293,Yofukashi no Uta Season 2,TV,12.0,2025,8.34,264827
294,Bakuman. 2nd Season,TV,25.0,2011,8.33,374350
295,Hyakuemu.,Movie,1.0,2025,8.33,87264
296,Kimetsu no Yaiba: Mugen Ressha-hen,TV,7.0,2021,8.33,1006272
297,Kono Subarashii Sekai ni Shukufuku wo! 3,TV,11.0,2024,8.33,571047
298,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13.0,2020,8.33,1317239
299,Tensei shitara Slime Datta Ken 2nd Season,TV,12.0,2021,8.33,1140847
300,Bakemonogatari,TV,15.0,2009,8.32,1506497
301,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13.0,2015,8.32,932258
302,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,12.0,2022,8.32,26960
303,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie,12.0,2022,8.32,19504
304,Hunter x Hunter: Original Video Animation,OVA,8.0,2002,8.32,138396
305,Kidou Senshi Gundam: The Origin,OVA,6.0,2015,8.32,85766
306,Kiseijuu: Sei no Kakuritsu,TV,24.0,2014,8.32,2064585
307,Major S6,TV,25.0,2010,8.32,67748
308,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1.0,2014,8.32,87594
309,NHK ni Youkoso!,TV,24.0,2006,8.32,853434
310,One Outs,TV,25.0,2008,8.32,259611
311,Psycho-Pass,TV,22.0,2012,8.32,1765677
312,Romeo no Aoi Sora,TV,33.0,1995,8.32,56529
313,Super no Ura de Yani Suu Futari,TV,12.0,2026,8.32,231574
314,Tunshi Xingkong 4th Season,ONA,175.0,2023,8.32,6575
315,Uchuu Senkan Yamato 2199,OVA,26.0,2012,8.32,127470
316,Uma Musume: Pretty Derby Season 2,TV,13.0,2021,8.32,118342
317,Bocchi the Rock! Movie,Movie,2.0,2024,8.31,74700
318,Boku dake ga Inai Machi,TV,12.0,2016,8.31,2322737
319,Diamond no Ace: Second Season,TV,51.0,2015,8.31,152874
320,Luo Xiaohei Zhanji (Movie),Movie,1.0,2019,8.31,47523
321,Mononoke Movie 2: Hinezumi,Movie,1.0,2025,8.31,24333
322,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11.0,2021,8.31,1621015
323,Natsume Yuujinchou Go Specials,Special,2.0,2017,8.31,53000
324,Sasaki to Miyano Movie: Sotsugyou-hen,Movie,1.0,2023,8.31,63759
325,Usagi Drop,TV,11.0,2011,8.31,529038
326,Dr. Stone: New World Part 2,TV,11.0,2023,8.3,452058
327,Initial D Final Stage,TV,4.0,2014,8.3,170148
328,Kemono no Souja Erin,TV,50.0,2009,8.3,95380
